name,price,category,type,description,tamilName
Mutton Biryani,350,Biryani,Non-Veg,Seeraga samba rice with spiced mutton,மட்டன் பிரியாணி
Chicken Biryani,280,Biryani,Non-Veg,Signature chicken biryani with aromatic spices,சிக்கன் பிரியாணி
Egg Biryani,220,Biryani,Non-Veg,Boiled eggs cooked with biryani masala,முட்டை பிரியாணி
Chicken 65,240,Starters,Non-Veg,Deep-fried spicy chicken appetizer,சிக்கன் 65
Mutton Sukka,320,Main Course,Non-Veg,Dry mutton roast with pepper and spices,மட்டன் சுக்கா
Chicken Curry,260,Main Course,Non-Veg,Traditional South Indian chicken gravy,சிக்கன் குழம்பு
Parotta,30,Breads,Veg,Layered flaky flatbread,பரோட்டா
Kothu Parotta,180,Main Course,Non-Veg,Chopped parotta mixed with chicken and spices,கொத்து பரோட்டா
Fish Fry,280,Starters,Non-Veg,Marinated fish shallow fried,மீன் வறுவல்
Rasam,60,Soups,Veg,Spicy tangy South Indian soup,ரசம்
Curd,50,Side Dish,Veg,Fresh plain yogurt,தயிர்
Payasam,90,Desserts,Veg,Sweet milk-based dessert with vermicelli,பாயாசம்
Vada,50,South Indian,Veg,Deep-fried lentil fritters,வடை
Masala Dosa,80,South Indian,Veg,Crispy dosa with spiced potato filling,மசாலா தோசை
Plain Dosa,50,South Indian,Veg,Thin crispy rice crepe,சாதா தோசை
Idli,40,Breakfast,Veg,Steamed fermented rice cakes,இட்லி
Sambar Vada,70,South Indian,Veg,Crispy vada soaked in tangy sambar,சாம்பார் வடை
Uthappam,90,South Indian,Veg,Thick rice pancake with toppings,உத்தப்பம்
Pongal,70,Breakfast,Veg,Rice and lentil dish seasoned with pepper,பொங்கல்
Chapati,20,Breads,Veg,Whole wheat flatbread,சப்பாத்தி
Naan,40,Breads,Veg,Leavened oven-baked flatbread,நான்
Paneer Butter Masala,280,Main Course,Veg,Creamy tomato-based paneer curry,பனீர் பட்டர் மசாலா
Dal Tadka,150,Main Course,Veg,Yellow lentils tempered with cumin and spices,தால் தட்கா
Gobi Manchurian,160,Starters,Veg,Indo-Chinese crispy cauliflower in sauce,கோபி மஞ்சூரியன்
Mushroom Curry,200,Main Course,Veg,Spiced mushroom gravy,காளான் குழம்பு
Prawn Masala,380,Main Course,Non-Veg,Spicy prawn curry,இறால் மசாலா
Egg Curry,180,Main Course,Non-Veg,Boiled eggs in spicy gravy,முட்டை குழம்பு
Filter Coffee,40,Beverages,Veg,Traditional South Indian filter coffee,ஃபில்டர் காபி
Lassi,60,Beverages,Veg,Chilled yogurt-based drink,லஸ்ஸி
Tender Coconut,60,Beverages,Veg,Fresh tender coconut water,இளநீர்
Lime Juice,40,Beverages,Veg,Fresh squeezed lime with sugar or salt,எலுமிச்சை ஜூஸ்
Samosa,30,Starters,Veg,Crispy pastry stuffed with spiced potatoes,சமோசா
Onion Pakoda,80,Starters,Veg,Crispy onion fritters,வெங்காய பஜ்ஜி
Chicken Soup,120,Soups,Non-Veg,Clear chicken broth with vegetables,சிக்கன் சூப்
Tomato Soup,80,Soups,Veg,Creamy tangy tomato soup,தக்காளி சூப்
Ice Cream,80,Desserts,Veg,Chilled dairy frozen dessert,ஐஸ் கிரீம்
Gulab Jamun,60,Desserts,Veg,Soft milk-solid balls soaked in sugar syrup,குலாப் ஜாமுன்
Halwa,80,Desserts,Veg,Sweet dense confection made with semolina,அல்வா
Chole Bhature,160,Main Course,Veg,Spiced chickpeas with fried fluffy bread,சோலே பட்டூரே
Veg Fried Rice,150,Rice & Biryani,Veg,Stir-fried rice with mixed vegetables,வெஜ் ஃப்ரைட் ரைஸ்
Chicken Fried Rice,200,Rice & Biryani,Non-Veg,Stir-fried rice with chicken and vegetables,சிக்கன் ஃப்ரைட் ரைஸ்
