name,category,mrp,barcode,qty
Aashirvaad Shudh Chakki Atta 5kg,Grocery,250,8901725132274,2
Tata Salt Vacuum Evaporated 1kg,Grocery,24,8901207000021,2
Maggi 2-Minute Noodles 140g,Grocery,28,8901058810235,2
Amul Butter Pasteurized 500g,Dairy,255,8901262010011,2
Surf Excel Easy Wash Detergent 1kg,Household,130,8901030386260,2
Fortune Sunlite Refined Sunflower Oil 1L,Grocery,145,8906007280017,2
Haldiram's Bhujia Sev 400g,Snacks,105,8904004400512,2
Britannia Good Day Cashew 600g,Snacks,120,8901063140594,2
Coca-Cola Original Taste 2L,Beverages,95,8901764012275,2
Dabur Red Paste 200g,Personal Care,110,8901207011683,2
Lays India's Magic Masala 52g,Snacks,20,8901491101901,2
Parle-G Gold 1kg,Snacks,150,8901719227184,2
Everest Garam Masala 100g,Grocery,72,8901786160000,2
Brooke Bond Red Label Tea 500g,Beverages,260,8901030006267,2
Vim Dishwash Liquid Lemon 500ml,Household,115,8901030325177,2
